grid_id,lon,lat,landcover_class,lc_pct_10,lc_pct_20,lc_pct_30,lc_pct_40,lc_pct_50,lc_pct_60,lc_pct_70,lc_pct_80,lc_pct_90,lc_pct_95,lc_pct_100,forest_pct,forest_area_km2,population_total,land_area_km2,nightlight_mean,nightlight_p90,cell_area_km2,land_fraction
-180.0_-17.0,-180.0,-17.0,90.0,2.106792273393788,0.0,0.444386907888675,0.0,0.0,0.0,0.0,87.71786783908469,9.699211057640802,0.031741921992048214,0.0,18.349046235463923,66.40970498088235,0.0,361.92456070294105,0.2989547410316636,0.3222569674253464,2959.9390816068026,0.12227432751976448
-179.0_-19.0,-179.0,-19.0,10.0,1.9320679194137764,0.0,0.1285680809155565,0.0,0.0,0.0,0.0,97.93936399967066,0.0,0.0,0.0,96.7936430855333,56.853586341911765,0.0,58.73690102941176,0.26974756738783273,0.287581205368042,2927.0449505176234,0.020066962421955506
-178.5_-14.5,-178.5,-14.5,10.0,1.8694487522909913,0.0,0.25165656280840265,0.0,0.0,0.0,0.0,97.87889468490062,0.0,0.0,0.0,92.06329977686505,55.8716283125,2551.562722712755,60.68827475,0.32896908709118444,0.43693336844444275,2995.981075883623,0.020256561444434638
-177.0_-44.5,-177.0,-44.5,10.0,7.783566680145898,0.0,3.7355025112375735,0.0,0.0,0.0,0.0,88.48093080861653,0.0,0.0,0.0,66.34028699556507,109.1985425625,0.0,164.6036631855392,0.49652755198686327,0.651390939950943,2214.136618746373,0.07434214392729592
-177.0_-44.0,-177.0,-44.0,30.0,2.0852595303772414,0.0,12.658139185406494,0.0,0.0,0.0,0.0,85.25660128421627,0.0,0.0,0.0,16.195242444701577,53.0413795490196,0.0,327.5121056700981,0.4681749537161468,0.5132981141408285,2232.8750894805507,0.1466773073035131
-176.5_-44.5,-176.5,-44.5,30.0,2.158625289838957,0.0,4.425753581297836,0.0,0.0,0.0,0.0,93.41562112886321,0.0,0.0,0.0,32.71993728225767,48.80524475,0.0,149.16056937696078,0.46009848729345376,0.5344855785369873,2214.136618746488,0.06736737386214525
-176.5_-44.0,-176.5,-44.0,30.0,1.3532874510236068,0.0,3.9578875896079344,0.0,0.0,0.03230256482364689,0.0,94.36579931113198,0.29072308341282205,0.0,0.0,22.941981130378696,28.43537601348039,0.0,123.94472757990198,0.42148336916097073,0.4818846583366394,2232.87508948066,0.05550902876915074
-176.5_-13.5,-176.5,-13.5,10.0,2.572776021236653,0.0,0.03476724353022504,0.0,0.0,0.0,0.0,97.39245673523313,0.0,0.0,0.0,97.46804840285644,74.488882625,6413.357176877558,76.42389875,0.5132963878882898,0.874370276927948,3008.8044615735034,0.025400088216444905
-175.5_-21.5,-175.5,-21.5,30.0,3.77505012622458,0.0,5.000285693507997,0.0,0.3973736974973242,0.0,0.0,90.5292602096471,0.0,0.29803027312299313,0.0,42.448774065002745,109.4930111875,70625.30047408608,257.941515625,0.9399125289830921,1.6998800039291382,2880.9173839158975,0.08953450628785198
-175.0_-21.5,-175.0,-21.5,10.0,3.8353691945724493,0.0,0.6848873561736517,0.0,0.0,0.0,0.0,95.4797434492539,0.0,0.0,0.0,81.914858238629,71.3522631875,3960.547941683554,87.105397875,0.43895317256450656,0.7390666753053665,2880.917383915901,0.030235298784098263
-174.0_-19.0,-174.0,-19.0,10.0,3.7025794955678184,0.0,0.19898484005328795,0.0,0.0,0.0,0.0,95.95509912705236,0.0,0.143336537326521,0.0,89.72765158640739,65.87004595588235,8773.246029622076,73.41108876838234,0.538650867877114,0.9286884466807047,2927.0449505174856,0.02508027379470331
-173.0_-14.0,-173.0,-14.0,10.0,22.05382613010779,0.1480015438592414,0.29643838637689235,0.0,0.0,0.0,0.0,77.50173393965608,0.0,0.0,0.0,97.93152226653238,583.7613951063724,11885.828039781458,596.0914132607843,0.287421086599373,0.3415101245045662,3002.507098367831,0.19853122531660983
-172.5_-14.0,-172.5,-14.0,10.0,33.994583666893,0.35530435840013,0.441185411874386,0.0,0.0,0.0,0.0,65.20892656283249,0.0,0.0,0.0,97.80464276258118,1017.8920640720588,32521.176563261277,1040.7400255455882,0.30755197430583564,0.3630877268128719,3002.5070983678183,0.34662366863723354
-172.5_-13.5,-172.5,-13.5,10.0,5.323159278330407,0.0,0.3318569674780181,0.0,0.0,0.0,0.0,94.34498375419157,0.0,0.0,0.0,91.79919645373992,97.3888064382353,3904.9491017601945,106.08895306323531,0.31629375739712684,0.40819838643074036,3008.8044615733347,0.03525950403827848
-172.0_-14.5,-172.0,-14.5,10.0,7.049497841142066,0.0,0.21352380412497743,0.0,0.0,0.0,0.0,92.73697835473295,0.0,0.0,0.0,96.08337345503155,141.8757705950982,6065.808388496323,147.65902308946113,0.3686945579632145,0.5111916661262512,2995.981075883778,0.04928569952528939
-172.0_-14.0,-172.0,-14.0,10.0,28.886047384197745,0.06908107273424234,1.293306044052051,0.0,0.24178375456984819,0.0,0.0,69.50978174444612,0.0,0.0,0.0,93.95680574805058,794.3900747039215,113742.79436439156,845.4843354659314,0.6382147557538943,0.9597367474011013,3002.5070983679775,0.28159278488483747
